Nom_route,Num_bornea_route,Dist_metre_apres_bornea,Type_recensement,Classe_route,Declinaison_classe_route,Nom_compteur_perm,Num_borneb_route,Dis_metre_apres_borneb,Moy_jour_ann_tous_vehi_2009,Moy_jour_ann_poidsL_2009,Moy_jour_ann_tous_vehi_2010,Moy_jour_ann_poidsL_2010,Mode_comptage,LATITUDE,LONGITUDE
44 D0137,8,240,P,RP2,RM,AIGREFEUILLE,8,240,12510,1561,12472,1447,CP,47.0898353856,-1.43328964544
44 D0149,11,0,RG,RP2,RM,,11,0,7334,587,7413,614,CT_A1,47.0816530853,-1.25274979539
44 D0149,18,0,RG,RP2,RM,,18,0,3583,138,3622,144,CT_A1,47.1235975673,-1.3033074608
44 D0149,22,380,P,RP2,RM,LE PALLET,22,380,7337,264,7173,258,CP,47.1451940811,-1.35053777879
44 D0163,14,0,P,RP2,RM,CHAPELLE GLAIN,14,0,2935,490,2872,485,CP,47.6288802762,-1.20365261962
44 D0163,27,500,RG,RP2,RM,,27,500,5121,625,5176,654,CT_A1,47.6970282043,-1.34686189638
44 D0164,7,0,RG,RP2,RM,,7,0,3716,299,3756,313,CT_A1,47.4058700706,-1.26383939826
44 D0164,23,760,P,RP2,RM,LES TOUCHES,23,760,5558,395,5605,359,CP,47.4380391192,-1.4650878242
44 D0164,40,0,RG,RDL1,RDL,,40,0,4776,334,4827,349,CT_A1,47.4503783121,-1.6690984165
44 D0164,57,250,P,RP2,RM,PLESSE,57,250,2948,164,2923,158,CP,47.5036497237,-1.87174818295
44 D0164,69,0,RG,RP2,RM,,69,0,2514,226,2541,236,CT_A1,47.5754467361,-1.98360625009
44 D0164,76,600,P,RP2,RM,SAINT NICOLAS,76,600,8708,705,8810,758,CP,47.6254352495,-2.04652932392
44 D0178,9,500,RG,RP2,RM,,9,500,,,0,0,?,47.7163574163,-1.35630349194
44 D0178,15,100,P,RP2,RM,MOISDON,15,100,3776,359,3971,206,CP,47.6682624085,-1.37962968724
44 D0178,35,0,RG,RP2,RM,,35,0,3979,313,4022,327,CT_A1,47.4972121913,-1.40315305965
44 D0178,48,0,RG,RP2,RM,,48,0,4621,313,4671,327,CT_A1,47.416704276,-1.4760519309
44 D0178,53,400,P,RP2,RM,ST MARS DU DESERT,53,400,9503,587,9500,561,CP,47.3747339437,-1.45011743006
44 D0178,61,800,RG,RP2,RM,,61,800,12719,886,12856,926,CT_A1,47.3058181256,-1.47947359698
44 D0178,72,800,P,LS,RM,LA CHEVROLIERE,72,800,17589,1266,18332,1412,CP,47.0840083988,-1.56319928149
44 D0178A,1,0,RG,RPU,RM,,1,0,4972,240,5025,251,CT_A1,47.1407735061,-1.53190036826
44 D0204,7,700,RG,RDL2,RDL,,7,700,732,29,740,30,CT_A1,47.3820917372,-2.07301330801
44 D0213,4,900,P,LS,RM,ESCOUBLAC,4,900,31521,1355,31930,1437,CP,47.2978126168,-2.35871205148
44 D0213,8,500,RG,LS,RM,Poste Secondaire,8,500,,,28087,846,CT_A,47.2855830141,-2.31041192571
44 D0213,11,700,P,LS,RM,SAINT NAZAIRE,11,700,43152,2158,43689,2316,CP,47.2848187575,-2.26787599757
44 D0213,15,0,RG,LS,RM,,15,0,57132,2479,57747,2592,CT_A1,47.2932212552,-2.22624432547
44 D0213,23,0,P,RP1,RM,PONT ST NAZAIRE,23,0,28853,1465,27541,1350,CP,47.268829696,-2.16220873784
44 D0213,38,650,P,LS,RM,PORNIC,38,650,17006,1360,17171,1391,CP,47.1334792482,-2.12196870079
44 D0213,41,0,RG,LS,RM,,41,0,19891,1288,20105,1347,CT_A1,47.1222176567,-2.09721685061
44 D0215,3,0,RG,RP2,RM,,3,0,6393,367,6462,384,CT_A1,47.2347337869,-1.43644004271
44 D0245,1,0,RG,RDL2,RDL,,1,0,6126,159,6192,166,CT_A1,47.277288781,-2.44637055233
44 D0245,6,0,RG,RDL1,RDL,,6,0,7004,257,7079,269,CT_A1,47.2871862454,-2.5057594148
44 D0277,2,0,RG,RP2,RM,,2,0,3206,81,3240,85,CT_A1,47.2680963637,-2.13681054685
44 D0292,4,0,RG,RDL2,RDL,,4,0,3432,125,3469,131,CT_A1,47.2367785718,-2.30052216547
44 D0333,2,0,RG,RDL2,RDL,,2,0,4000,160,4043,167,CT_A1,47.3647960633,-2.50912881914
44 D0358,1,0,RG,RPU,RM,,1,0,3269,111,3304,116,CT_A1,47.1955965572,-1.68582248655
44 D0537,14,700,RG,RDL2,RDL,,14,700,3165,305,3199,319,CT_A1,47.6508076608,-1.66118010833
44 D0537,17,800,RG,RDL1,RDL,,17,800,2107,148,2130,155,CT_A1,47.6799988849,-1.6809431912
44 D0723,5,0,RG,RP2,RM,,5,0,3772,205,3813,214,CT_A1,47.2614042058,-1.97972158605
44 D0723,10,950,P,RP2,RM,FROSSAY,10,950,3549,216,3595,230,CP,47.2250809881,-1.93078167755
